,count,example,word-de,word-en,word-es
0,17,Mapa de la expansión y claves para entender el coronavirus de Wuhan,von,of,de
1,12,"Un periodista que viajó a Milán para cubrir el Valencia-Atalanta, positivo por coronavirus",den,on,el
2,11,Mapa de la expansión y claves para entender el coronavirus de Wuhan,die,ed,la
3,6,"Un periodista que viajó a Milán para cubrir el Valencia-Atalanta, positivo por coronavirus",a,a,a
4,6,Ciudadanos pagaba un sueldo a un vocal de la Junta Electoral Central que resolvió recursos del partido,ein,a,un
5,5,"Un periodista que viajó a Milán para cubrir el Valencia-Atalanta, positivo por coronavirus",Coronavirus,coronavirus,coronavirus
6,5,El turismo italiano se resiente; España mira expectante,se,I know.,se
7,4,“La magnitud del problema del coronavirus no será diferente a una gripe”,vom,of the,del
8,4,Así avanzan las encuestas en Galicia y País Vasco,ng,in,en
9,4,El Gobierno salva el primer escollo de los Presupuestos gracias a ERC,die,the,los
10,4,"Un periodista que viajó a Milán para cubrir el Valencia-Atalanta, positivo por coronavirus",durch,by,por
11,4,"Un periodista que viajó a Milán para cubrir el Valencia-Atalanta, positivo por coronavirus",was,that,que
12,4,Mapa de la expansión y claves para entender el coronavirus de Wuhan,und,and,y
13,3,Así avanzan las encuestas en Galicia y País Vasco,die,the,las
14,3,"Un periodista que viajó a Milán para cubrir el Valencia-Atalanta, positivo por coronavirus",für,for,para
15,3,“La magnitud del problema del coronavirus no será diferente a una gripe”,eine,one,una
16,2,Así avanzan las encuestas en Galicia y País Vasco,So.,Like this.,Así
17,2,50 antiguos ministros y dirigentes europeos se pronuncian contra el plan de Trump para Palestina,gegen,against,contra
18,2,50 antiguos ministros y dirigentes europeos se pronuncian contra el plan de Trump para Palestina,Europäer,European,europeos
19,2,Mapa de la expansión y claves para entender el coronavirus de Wuhan,Erweiterung,expansion,expansión
20,2,Así gestionan nuestros vecinos europeos la expansión de Airbnb,unsere,ours,nuestros
21,2,Así avanzan las encuestas en Galicia y País Vasco,Land,Country,País
22,2,China desvela de qué está hecha la cara oculta de la Luna,was?,what,qué
23,2,El coronavirus de Wuhan | Japón cerrará todos sus centros escolares hasta fin de marzo,",",their,sus
24,2,Trump nombra al vicepresidente Pence a cargo de la crisis del coronavirus,Trump,Trump,Trump
25,2,Mapa de la expansión y claves para entender el coronavirus de Wuhan,Wuhan,Wuhan,Wuhan
26,2,“La magnitud del problema del coronavirus no será diferente a una gripe”,"B. mit einem Gewicht von mehr als 1 kg, jedoch nicht mehr als 1 kg,",“The,“La
27,1,La mesa de diálogo se reunirá mensualmente y los acuerdos serán “en el marco de la seguridad jurídica”,Vereinbarungen,agreements,acuerdos
28,1,Así gestionan nuestros vecinos europeos la expansión de Airbnb,Airbnb,Airbnb,Airbnb
29,1,Trump nombra al vicepresidente Pence a cargo de la crisis del coronavirus,am,as at,al
30,1,Javier Bardem: “Hoy hay algún Hernán Cortés en el Congreso”,Irgendwelche,some,algún
31,1,Plácido Domingo anula sus representaciones en el Real antes de que el teatro las cancelara,vorher,before,antes
32,1,50 antiguos ministros y dirigentes europeos se pronuncian contra el plan de Trump para Palestina,alt,old,antiguos
33,1,Plácido Domingo anula sus representaciones en el Real antes de que el teatro las cancelara,storniert,cancels,anula
34,1,Especial EL PAÍS en Arco | Muntadas: “La sociedad ha degradado las palabras”,Bogen,Arc,Arco
35,1,Así avanzan las encuestas en Galicia y País Vasco,Vorwärts,They're moving forward.,avanzan
36,1,Consumo da la razón a los clientes de Fnac que compraron un móvil 575 euros más barato por un error,preiswert,cheap,barato
37,1,Javier Bardem: “Hoy hay algún Hernán Cortés en el Congreso”,Bardem,Bardem,Bardem
